"1";"2.6.202.40";"2018-06-26 17:54:00";"FR"
"2";"2.8.29.49";"2018-06-26 17:53:00";"FR"
"3";"2.8.226.42";"2018-06-26 17:55:00";"FR"
"4";"2.9.186.198";"2018-06-26 17:55:00";"FR"
"5";"2.11.166.3";"2018-06-26 17:52:00";"FR"
"6";"2.11.225.47";"2018-06-26 17:55:00";"FR"
"7";"2.12.35.126";"2018-06-26 17:52:00";"FR"
"8";"2.12.128.193";"2018-06-26 17:54:00";"FR"
"9";"2.13.87.247";"2018-06-26 17:51:00";"FR"
"10";"2.17.253.44";"2018-06-26 17:55:00";"EU"
"11";"2.18.71.247";"2018-06-26 17:51:00";"EU"
"12";"2.18.153.224";"2018-06-26 17:54:00";"EU"
"13";"2.21.55.134";"2018-06-26 17:52:00";"EU"
"14";"2.22.117.226";"2018-06-26 17:53:00";"EU"
"15";"2.24.149.44";"2018-06-26 17:53:00";"GB"
"16";"2.24.216.139";"2018-06-26 17:55:00";"GB"
"17";"2.25.188.198";"2018-06-26 17:55:00";"GB"
"18";"2.29.140.203";"2018-06-26 17:55:00";"GB"
"19";"2.30.29.105";"2018-06-26 17:54:00";"GB"
"20";"2.31.43.167";"2018-06-26 17:55:00";"GB"
"21";"2.34.211.161";"2018-06-26 17:53:00";"IT"
"22";"2.35.132.61";"2018-06-26 17:52:00";"IT"
"23";"2.36.55.72";"2018-06-26 17:54:00";"IT"
"24";"2.39.214.41";"2018-06-26 17:51:00";"IT"
"25";"2.46.34.175";"2018-06-26 17:52:00";"IT"
"26";"2.47.146.99";"2018-06-26 17:52:00";"IT"
"27";"2.51.61.181";"2018-06-26 17:53:00";"AE"
"28";"2.52.3.17";"2018-06-26 17:53:00";"IL"
"29";"2.52.174.112";"2018-06-26 17:54:00";"IL"
"30";"2.54.100.4";"2018-06-26 17:55:00";"IL"
"31";"2.54.108.32";"2018-06-26 17:54:00";"IL"
"32";"2.55.39.166";"2018-06-26 17:53:00";"IL"
"33";"2.57.159.162";"2018-06-26 17:51:00";"none"
"34";"2.57.191.93";"2018-06-26 17:55:00";"none"
"35";"2.60.110.7";"2018-06-26 17:54:00";"RU"
"36";"2.60.196.188";"2018-06-26 17:54:00";"RU"
"37";"2.60.201.185";"2018-06-26 17:51:00";"RU"
"38";"2.61.67.62";"2018-06-26 17:54:00";"RU"
"39";"2.62.99.237";"2018-06-26 17:52:00";"RU"
